BlockId	 w4	 w5 	 w6 	 w7 	 w8
1	10.206277	10.941290	10.403069	10.403069	10.136843
2	22.924864	21.558395	21.258448	21.105507	21.595884
3	34.453552	32.015213	32.635952	32.160778	32.520859
4	57.772186	52.248112	53.613541	53.506584	53.048214
5	118.708481	112.836304	114.781975	109.112091	108.479950
6	261.863525	236.263840	224.620483	200.218216	213.888290
7	396.486664	348.809967	339.022003	303.871521	292.566162
8	532.546570	425.899597	421.151581	386.774048	386.078552
9	692.636780	616.865723	547.364624	509.316132	486.529694
10	891.870483	745.523987	665.925720	600.769775	546.873291
BlockId	 w4	 w5 	 w6 	 w7 	 w8
1	2.734158	2.939781	2.963299	2.933666	2.734158
2	6.020671	6.063297	5.867332	5.926598	6.144808
3	9.024599	9.006988	9.090034	9.109880	9.539128
4	14.433210	14.073632	13.941314	13.413442	14.477032
5	32.191536	30.410532	30.387152	30.313564	31.429018
6	72.956207	68.605713	71.304871	68.979881	71.536751
7	131.427994	114.734650	113.554100	111.613373	118.907379
8	227.065308	172.666977	184.894531	179.428055	202.304123
9	314.898254	299.935303	271.738983	277.865601	272.417542
10	429.787201	394.275818	368.315613	356.407990	347.531097
